,Unnamed: 0,point_id,u,v,street_id,street,longitude,latitude
0,2093,2093,62547392,62856320,790,"LINESTRING (-83.058015 42.336873999999995, -83.0578355 42.33698939999999, -83.0570324 42.337505500000006, -83.05693679999999 42.337567899999996, -83.0564585 42.3378791, -83.05636989999999 42.3379367)",-83.05767606203518,42.33709186072004
2,2095,2095,62547392,62856320,790,"LINESTRING (-83.058015 42.336873999999995, -83.0578355 42.33698939999999, -83.0570324 42.337505500000006, -83.05693679999999 42.337567899999996, -83.0564585 42.3378791, -83.05636989999999 42.3379367)",-83.0569983549088,42.337527721907634
3,2359,2359,62553061,4507556723,887,"LINESTRING (-83.06440629999999 42.3349573, -83.06415119999998 42.334662099999996, -83.063911 42.33430499999999, -83.06341009999998 42.3335715, -83.06327879999999 42.33340279999999, -83.0625784 42.33258680000001, -83.06230109999998 42.33228439999999, -83.06216789999999 42.3321658, -83.0620524 42.33209279999999, -83.0619144 42.3320172, -83.06180939999999 42.3319733, -83.06171869999999 42.331941, -83.06161719999999 42.3319146, -83.06150009999999 42.33189329999999, -83.0613659 42.33187290000001, -83.061264 42.3318646, -83.061154 42.33186039999999, -83.0607104 42.331856800000004, -83.0593012 42.33185780000001, -83.0591579 42.3318607, -83.05911039999998 42.3318657, -83.05906019999999 42.33187059999999, -83.0589785 42.3318865, -83.05884069999999 42.3319222, -83.0586706 42.3319748, -83.0585352 42.332074399999996)",-83.06416450060462,42.33467749140423
4,2360,2360,62553061,4507556723,887,"LINESTRING (-83.06440629999999 42.3349573, -83.06415119999998 42.334662099999996, -83.063911 42.33430499999999, -83.06341009999998 42.3335715, -83.06327879999999 42.33340279999999, -83.0625784 42.33258680000001, -83.06230109999998 42.33228439999999, -83.06216789999999 42.3321658, -83.0620524 42.33209279999999, -83.0619144 42.3320172, -83.06180939999999 42.3319733, -83.06171869999999 42.331941, -83.06161719999999 42.3319146, -83.06150009999999 42.33189329999999, -83.0613659 42.33187290000001, -83.061264 42.3318646, -83.061154 42.33186039999999, -83.0607104 42.331856800000004, -83.0593012 42.33185780000001, -83.0591579 42.3318607, -83.05911039999998 42.3318657, -83.05906019999999 42.33187059999999, -83.0589785 42.3318865, -83.05884069999999 42.3319222, -83.0586706 42.3319748, -83.0585352 42.332074399999996)",-83.06396222140569,42.33438114989519
5,2361,2361,62553061,4507556723,887,"LINESTRING (-83.06440629999999 42.3349573, -83.06415119999998 42.334662099999996, -83.063911 42.33430499999999, -83.06341009999998 42.3335715, -83.06327879999999 42.33340279999999, -83.0625784 42.33258680000001, -83.06230109999998 42.33228439999999, -83.06216789999999 42.3321658, -83.0620524 42.33209279999999, -83.0619144 42.3320172, -83.06180939999999 42.3319733, -83.06171869999999 42.331941, -83.06161719999999 42.3319146, -83.06150009999999 42.33189329999999, -83.0613659 42.33187290000001, -83.061264 42.3318646, -83.061154 42.33186039999999, -83.0607104 42.331856800000004, -83.0593012 42.33185780000001, -83.0591579 42.3318607, -83.05911039999998 42.3318657, -83.05906019999999 42.33187059999999, -83.0589785 42.3318865, -83.05884069999999 42.3319222, -83.0586706 42.3319748, -83.0585352 42.332074399999996)",-83.06376043242379,42.33408451513932
6,2362,2362,62553061,4507556723,887,"LINESTRING (-83.06440629999999 42.3349573, -83.06415119999998 42.334662099999996, -83.063911 42.33430499999999, -83.06341009999998 42.3335715, -83.06327879999999 42.33340279999999, -83.0625784 42.33258680000001, -83.06230109999998 42.33228439999999, -83.06216789999999 42.3321658, -83.0620524 42.33209279999999, -83.0619144 42.3320172, -83.06180939999999 42.3319733, -83.06171869999999 42.331941, -83.06161719999999 42.3319146, -83.06150009999999 42.33189329999999, -83.0613659 42.33187290000001, -83.061264 42.3318646, -83.061154 42.33186039999999, -83.0607104 42.331856800000004, -83.0593012 42.33185780000001, -83.0591579 42.3318607, -83.05911039999998 42.3318657, -83.05906019999999 42.33187059999999, -83.0589785 42.3318865, -83.05884069999999 42.3319222, -83.0586706 42.3319748, -83.0585352 42.332074399999996)",-83.06355802013843,42.3337881098371
7,2363,2363,62553061,4507556723,887,"LINESTRING (-83.06440629999999 42.3349573, -83.06415119999998 42.334662099999996, -83.063911 42.33430499999999, -83.06341009999998 42.3335715, -83.06327879999999 42.33340279999999, -83.0625784 42.33258680000001, -83.06230109999998 42.33228439999999, -83.06216789999999 42.3321658, -83.0620524 42.33209279999999, -83.0619144 42.3320172, -83.06180939999999 42.3319733, -83.06171869999999 42.331941, -83.06161719999999 42.3319146, -83.06150009999999 42.33189329999999, -83.0613659 42.33187290000001, -83.061264 42.3318646, -83.061154 42.33186039999999, -83.0607104 42.331856800000004, -83.0593012 42.33185780000001, -83.0591579 42.3318607, -83.05911039999998 42.3318657, -83.05906019999999 42.33187059999999, -83.0589785 42.3318865, -83.05884069999999 42.3319222, -83.0586706 42.3319748, -83.0585352 42.332074399999996)",-83.0633497974582,42.33349402070508
8,2364,2364,62553061,4507556723,887,"LINESTRING (-83.06440629999999 42.3349573, -83.06415119999998 42.334662099999996, -83.063911 42.33430499999999, -83.06341009999998 42.3335715, -83.06327879999999 42.33340279999999, -83.0625784 42.33258680000001, -83.06230109999998 42.33228439999999, -83.06216789999999 42.3321658, -83.0620524 42.33209279999999, -83.0619144 42.3320172, -83.06180939999999 42.3319733, -83.06171869999999 42.331941, -83.06161719999999 42.3319146, -83.06150009999999 42.33189329999999, -83.0613659 42.33187290000001, -83.061264 42.3318646, -83.061154 42.33186039999999, -83.0607104 42.331856800000004, -83.0593012 42.33185780000001, -83.0591579 42.3318607, -83.05911039999998 42.3318657, -83.05906019999999 42.33187059999999, -83.0589785 42.3318865, -83.05884069999999 42.3319222, -83.0586706 42.3319748, -83.0585352 42.332074399999996)",-83.06311443109003,42.33321130319154
9,2365,2365,62553061,4507556723,887,"LINESTRING (-83.06440629999999 42.3349573, -83.06415119999998 42.334662099999996, -83.063911 42.33430499999999, -83.06341009999998 42.3335715, -83.06327879999999 42.33340279999999, -83.0625784 42.33258680000001, -83.06230109999998 42.33228439999999, -83.06216789999999 42.3321658, -83.0620524 42.33209279999999, -83.0619144 42.3320172, -83.06180939999999 42.3319733, -83.06171869999999 42.331941, -83.06161719999999 42.3319146, -83.06150009999999 42.33189329999999, -83.0613659 42.33187290000001, -83.061264 42.3318646, -83.061154 42.33186039999999, -83.0607104 42.331856800000004, -83.0593012 42.33185780000001, -83.0591579 42.3318607, -83.05911039999998 42.3318657, -83.05906019999999 42.33187059999999, -83.0589785 42.3318865, -83.05884069999999 42.3319222, -83.0586706 42.3319748, -83.0585352 42.332074399999996)",-83.06287378797923,42.33293094262597
10,2366,2366,62553061,4507556723,887,"LINESTRING (-83.06440629999999 42.3349573, -83.06415119999998 42.334662099999996, -83.063911 42.33430499999999, -83.06341009999998 42.3335715, -83.06327879999999 42.33340279999999, -83.0625784 42.33258680000001, -83.06230109999998 42.33228439999999, -83.06216789999999 42.3321658, -83.0620524 42.33209279999999, -83.0619144 42.3320172, -83.06180939999999 42.3319733, -83.06171869999999 42.331941, -83.06161719999999 42.3319146, -83.06150009999999 42.33189329999999, -83.0613659 42.33187290000001, -83.061264 42.3318646, -83.061154 42.33186039999999, -83.0607104 42.331856800000004, -83.0593012 42.33185780000001, -83.0591579 42.3318607, -83.05911039999998 42.3318657, -83.05906019999999 42.33187059999999, -83.0589785 42.3318865, -83.05884069999999 42.3319222, -83.0586706 42.3319748, -83.0585352 42.332074399999996)",-83.06263314486844,42.33265058081065
